PropName,BladeName,Family,B,D,P,J,N,CT,CP,eta
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.10655,24039.0,0.130114,0.080725,0.171738
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.132706,24039.0,0.125664,0.080035,0.208362
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.159507,24039.0,0.121149,0.079373,0.243458
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.186325,24039.0,0.116172,0.078343,0.276292
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.212659,24039.0,0.111566,0.077694,0.30537
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.239489,24039.0,0.106922,0.076981,0.332636
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.265845,24039.0,0.102431,0.076243,0.357158
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.290925,24039.0,0.097365,0.075087,0.37724
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.319783,24039.0,0.092667,0.074838,0.395964
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.34536,24039.0,0.087978,0.073898,0.41116
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.372245,24039.0,0.083053,0.072419,0.426903
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.398768,24039.0,0.077865,0.071287,0.435565
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.425956,24039.0,0.072849,0.069384,0.447228
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.453554,24039.0,0.066605,0.067923,0.444751
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.478027,24039.0,0.060619,0.065665,0.441295
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.504846,24039.0,0.053895,0.063755,0.426774
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.535996,24039.0,0.046625,0.062397,0.400513
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.451267,24054.0,0.06532,0.065668,0.448873
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.480115,24054.0,0.059377,0.064045,0.445122
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.504588,24054.0,0.053413,0.062165,0.433549
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.532045,24054.0,0.046555,0.059966,0.413061
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.557235,24054.0,0.039784,0.057801,0.383541
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.584467,24054.0,0.033378,0.055559,0.351125
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.611301,24054.0,0.026756,0.052871,0.309354
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.640307,24054.0,0.019688,0.05004,0.251917
