BladeName,Family,D,P,c/R,r/R,beta
da4002 5.0x3.75,da4002,5.0,3.75,0.1804,0.75,18.933
da4002 5.0x3.75,da4002,5.0,3.75,0.181,0.8,18.173
da4002 5.0x3.75,da4002,5.0,3.75,0.1796,0.85,17.534
da4002 5.0x3.75,da4002,5.0,3.75,0.1793,0.9,16.84
da4002 5.0x3.75,da4002,5.0,3.75,0.1555,0.95,14.427
da4002 5.0x3.75,da4002,5.0,3.75,0.0226,1.0,15.523
da4002 5.0x4.92,da4002,5.0,4.92,0.1265,0.15,45.675
da4002 5.0x4.92,da4002,5.0,4.92,0.1141,0.2,46.623
da4002 5.0x4.92,da4002,5.0,4.92,0.1404,0.25,44.547
da4002 5.0x4.92,da4002,5.0,4.92,0.1613,0.3,41.454
da4002 5.0x4.92,da4002,5.0,4.92,0.1714,0.35,38.726
da4002 5.0x4.92,da4002,5.0,4.92,0.1771,0.4,35.816
da4002 5.0x4.92,da4002,5.0,4.92,0.1791,0.45,33.287
da4002 5.0x4.92,da4002,5.0,4.92,0.1788,0.5,31.347
da4002 5.0x4.92,da4002,5.0,4.92,0.1782,0.55,29.616
da4002 5.0x4.92,da4002,5.0,4.92,0.1797,0.6,27.827
da4002 5.0x4.92,da4002,5.0,4.92,0.1808,0.65,26.433
da4002 5.0x4.92,da4002,5.0,4.92,0.1804,0.7,25.469
da4002 5.0x4.92,da4002,5.0,4.92,0.181,0.75,24.492
da4002 5.0x4.92,da4002,5.0,4.92,0.1822,0.8,23.732
da4002 5.0x4.92,da4002,5.0,4.92,0.1795,0.85,22.991
da4002 5.0x4.92,da4002,5.0,4.92,0.18,0.9,22.364
da4002 5.0x4.92,da4002,5.0,4.92,0.1754,0.95,21.003
da4002 5.0x4.92,da4002,5.0,4.92,0.0358,1.0,17.575
da4002 9.0x2.85,da4002,9.0,2.85,0.1248,0.15,43.32
da4002 9.0x2.85,da4002,9.0,2.85,0.1147,0.2,38.634
da4002 9.0x2.85,da4002,9.0,2.85,0.1462,0.25,31.915
da4002 9.0x2.85,da4002,9.0,2.85,0.1705,0.3,28.052
da4002 9.0x2.85,da4002,9.0,2.85,0.1789,0.35,24.658
da4002 9.0x2.85,da4002,9.0,2.85,0.1798,0.4,21.238
da4002 9.0x2.85,da4002,9.0,2.85,0.1801,0.45,18.602
da4002 9.0x2.85,da4002,9.0,2.85,0.1817,0.5,16.694
da4002 9.0x2.85,da4002,9.0,2.85,0.1821,0.55,14.984
da4002 9.0x2.85,da4002,9.0,2.85,0.1814,0.6,13.469
da4002 9.0x2.85,da4002,9.0,2.85,0.1815,0.65,12.289
da4002 9.0x2.85,da4002,9.0,2.85,0.1814,0.7,11.332
da4002 9.0x2.85,da4002,9.0,2.85,0.1807,0.75,10.539
da4002 9.0x2.85,da4002,9.0,2.85,0.1805,0.8,9.863
da4002 9.0x2.85,da4002,9.0,2.85,0.181,0.85,9.245
da4002 9.0x2.85,da4002,9.0,2.85,0.1814,0.9,8.712
da4002 9.0x2.85,da4002,9.0,2.85,0.1611,0.95,7.302
da4002 9.0x2.85,da4002,9.0,2.85,0.0514,1.0,1.192
da4002 9.0x4.76,da4002,9.0,4.76,0.1253,0.15,44.221
da4002 9.0x4.76,da4002,9.0,4.76,0.1158,0.2,41.639
da4002 9.0x4.76,da4002,9.0,4.76,0.1478,0.25,36.819
da4002 9.0x4.76,da4002,9.0,4.76,0.1731,0.3,33.254
da4002 9.0x4.76,da4002,9.0,4.76,0.1803,0.35,30.176
da4002 9.0x4.76,da4002,9.0,4.76,0.1801,0.4,26.971
da4002 9.0x4.76,da4002,9.0,4.76,0.1799,0.45,24.301
da4002 9.0x4.76,da4002,9.0,4.76,0.1808,0.5,22.39
da4002 9.0x4.76,da4002,9.0,4.76,0.1815,0.55,20.638
da4002 9.0x4.76,da4002,9.0,4.76,0.1812,0.6,19.079
da4002 9.0x4.76,da4002,9.0,4.76,0.1812,0.65,17.795
da4002 9.0x4.76,da4002,9.0,4.76,0.1811,0.7,16.653
da4002 9.0x4.76,da4002,9.0,4.76,0.1808,0.75,15.719
da4002 9.0x4.76,da4002,9.0,4.76,0.1813,0.8,14.945
da4002 9.0x4.76,da4002,9.0,4.76,0.1815,0.85,14.224
da4002 9.0x4.76,da4002,9.0,4.76,0.1812,0.9,13.675
da4002 9.0x4.76,da4002,9.0,4.76,0.1493,0.95,11.87
da4002 9.0x4.76,da4002,9.0,4.76,0.0045,1.0,8.13
da4002 9.0x6.75,da4002,9.0,6.75,0.1198,0.15,42.481
da4002 9.0x6.75,da4002,9.0,6.75,0.1128,0.2,44.647
da4002 9.0x6.75,da4002,9.0,6.75,0.1436,0.25,41.154
da4002 9.0x6.75,da4002,9.0,6.75,0.1689,0.3,37.475
da4002 9.0x6.75,da4002,9.0,6.75,0.1775,0.35,34.027
da4002 9.0x6.75,da4002,9.0,6.75,0.1782,0.4,30.549
da4002 9.0x6.75,da4002,9.0,6.75,0.1773,0.45,27.875
da4002 9.0x6.75,da4002,9.0,6.75,0.1782,0.5,25.831
da4002 9.0x6.75,da4002,9.0,6.75,0.179,0.55,23.996
da4002 9.0x6.75,da4002,9.0,6.75,0.1787,0.6,22.396
da4002 9.0x6.75,da4002,9.0,6.75,0.1787,0.65,21.009
da4002 9.0x6.75,da4002,9.0,6.75,0.1786,0.7,19.814
da4002 9.0x6.75,da4002,9.0,6.75,0.1785,0.75,18.786
da4002 9.0x6.75,da4002,9.0,6.75,0.179,0.8,17.957
da4002 9.0x6.75,da4002,9.0,6.75,0.1792,0.85,17.245
da4002 9.0x6.75,da4002,9.0,6.75,0.1792,0.9,16.657
da4002 9.0x6.75,da4002,9.0,6.75,0.1692,0.95,13.973
da4002 9.0x6.75,da4002,9.0,6.75,0.0154,1.0,2.117
da4002 9.0x8.95,da4002,9.0,8.95,0.1237,0.15,46.133
da4002 9.0x8.95,da4002,9.0,8.95,0.1156,0.2,47.135
da4002 9.0x8.95,da4002,9.0,8.95,0.1465,0.25,45.275
da4002 9.0x8.95,da4002,9.0,8.95,0.1702,0.3,42.641
da4002 9.0x8.95,da4002,9.0,8.95,0.1791,0.35,39.111
da4002 9.0x8.95,da4002,9.0,8.95,0.1791,0.4,35.616
da4002 9.0x8.95,da4002,9.0,8.95,0.1786,0.45,32.962
da4002 9.0x8.95,da4002,9.0,8.95,0.1797,0.5,30.955
da4002 9.0x8.95,da4002,9.0,8.95,0.1803,0.55,29.208
da4002 9.0x8.95,da4002,9.0,8.95,0.18,0.6,27.606
da4002 9.0x8.95,da4002,9.0,8.95,0.1801,0.65,26.251
da4002 9.0x8.95,da4002,9.0,8.95,0.1795,0.7,25.061
da4002 9.0x8.95,da4002,9.0,8.95,0.1795,0.75,24.011
da4002 9.0x8.95,da4002,9.0,8.95,0.1803,0.8,23.191
da4002 9.0x8.95,da4002,9.0,8.95,0.1803,0.85,22.464
da4002 9.0x8.95,da4002,9.0,8.95,0.1805,0.9,21.779
da4002 9.0x8.95,da4002,9.0,8.95,0.1584,0.95,18.976
da4002 9.0x8.95,da4002,9.0,8.95,0.022,1.0,5.306
da4022 5.0x3.75,da4022,5.0,3.75,0.1269,0.15,41.63
da4022 5.0x3.75,da4022,5.0,3.75,0.1291,0.2,44.363
da4022 5.0x3.75,da4022,5.0,3.75,0.1807,0.25,40.568
da4022 5.0x3.75,da4022,5.0,3.75,0.2226,0.3,36.964
da4022 5.0x3.75,da4022,5.0,3.75,0.2341,0.35,33.869
da4022 5.0x3.75,da4022,5.0,3.75,0.2315,0.4,30.788
da4022 5.0x3.75,da4022,5.0,3.75,0.2299,0.45,28.316
da4022 5.0x3.75,da4022,5.0,3.75,0.2306,0.5,26.401
da4022 5.0x3.75,da4022,5.0,3.75,0.2313,0.55,24.686
da4022 5.0x3.75,da4022,5.0,3.75,0.2312,0.6,23.127
da4022 5.0x3.75,da4022,5.0,3.75,0.2314,0.65,21.825
da4022 5.0x3.75,da4022,5.0,3.75,0.2316,0.7,20.734
da4022 5.0x3.75,da4022,5.0,3.75,0.2317,0.75,19.766
da4022 5.0x3.75,da4022,5.0,3.75,0.2319,0.8,18.922
